,M_Sign,F_Sign,p_hat,p-value
0,Leo,Leo,0.0546448087431694,0.8649
1,Leo,Aquarius,0.04419889502762431,0.7428
2,Leo,Sagittarius,0.041884816753926704,0.6304
3,Leo,Scorpio,0.0650887573964497,0.4842
4,Leo,Pisces,0.07894736842105263,0.0964
5,Leo,Capricorn,0.06521739130434782,0.497
6,Leo,Taurus,0.07894736842105263,0.0971
7,Leo,Libra,0.0546448087431694,0.8692
8,Leo,Gemini,0.03349282296650718,0.2704
9,Leo,Virgo,0.03414634146341464,0.2737
10,Leo,Aries,0.060240963855421686,0.7224
11,Leo,Cancer,0.04046242774566474,0.6024
12,Aquarius,Leo,0.0625,0.6102
13,Aquarius,Aquarius,0.06557377049180328,0.3958
14,Aquarius,Sagittarius,0.023668639053254437,0.1125
15,Aquarius,Scorpio,0.07575757575757576,0.232
16,Aquarius,Pisces,0.03508771929824561,0.3914
17,Aquarius,Capricorn,0.05747126436781609,0.8678
18,Aquarius,Taurus,0.048484848484848485,0.8689
19,Aquarius,Libra,0.025510204081632654,0.1079
20,Aquarius,Gemini,0.07947019867549669,0.1373
21,Aquarius,Virgo,0.03389830508474576,0.3118
22,Aquarius,Aries,0.0547945205479452,1.0
23,Aquarius,Cancer,0.07647058823529412,0.1619
24,Sagittarius,Leo,0.055900621118012424,0.8584
25,Sagittarius,Aquarius,0.04861111111111111,1.0
26,Sagittarius,Sagittarius,0.06060606060606061,0.7283
27,Sagittarius,Scorpio,0.06451612903225806,0.5833
28,Sagittarius,Pisces,0.05161290322580645,1.0
29,Sagittarius,Capricorn,0.057971014492753624,0.84
30,Sagittarius,Taurus,0.03977272727272727,0.5086
31,Sagittarius,Libra,0.0625,0.6067
32,Sagittarius,Gemini,0.0379746835443038,0.4865
33,Sagittarius,Virgo,0.0650887573964497,0.4961
34,Sagittarius,Aries,0.06666666666666667,0.4791
35,Sagittarius,Cancer,0.044444444444444446,0.732
36,Scorpio,Leo,0.06857142857142857,0.3941
37,Scorpio,Aquarius,0.045714285714285714,0.7458
38,Scorpio,Sagittarius,0.0335195530726257,0.319
39,Scorpio,Scorpio,0.07857142857142857,0.1755
40,Scorpio,Pisces,0.07738095238095238,0.1565
41,Scorpio,Capricorn,0.05128205128205128,1.0
42,Scorpio,Taurus,0.08,0.1222
43,Scorpio,Libra,0.050314465408805034,1.0
44,Scorpio,Gemini,0.047058823529411764,0.8607
45,Scorpio,Virgo,0.03773584905660377,0.4789
46,Scorpio,Aries,0.04419889502762431,0.7395
47,Scorpio,Cancer,0.0625,0.5895
48,Pisces,Leo,0.07317073170731707,0.2867
49,Pisces,Aquarius,0.08383233532934131,0.0759
50,Pisces,Sagittarius,0.03571428571428571,0.3977
51,Pisces,Scorpio,0.06748466257668712,0.3752
52,Pisces,Pisces,0.062111801242236024,0.5913
53,Pisces,Capricorn,0.042682926829268296,0.6135
