,Marriage_Date,M_DOB,F_DOB,M_Sign,F_Sign,Divorced
0,2000-01-03,1974-08-20,1980-01-01,Leo,Capricorn,No
1,2000-01-05,1980-02-12,1981-12-12,Aquarius,Sagittarius,No
2,2000-01-05,1978-11-26,1979-09-04,Sagittarius,Virgo,No
3,2000-01-06,1974-10-30,1978-12-04,Scorpio,Sagittarius,Yes
4,2000-01-06,1937-03-13,1956-09-11,Pisces,Virgo,No
5,2000-01-07,1974-12-24,1977-01-07,Capricorn,Capricorn,Yes
6,2000-01-07,1976-05-17,1967-04-01,Taurus,Aries,No
7,2000-01-07,1981-09-26,1977-12-27,Libra,Capricorn,No
8,2000-01-07,1974-12-10,1979-11-09,Sagittarius,Scorpio,No
9,2000-01-08,1972-12-29,1972-05-27,Capricorn,Gemini,No
10,2000-01-08,1978-06-21,1978-11-13,Gemini,Scorpio,Yes
11,2000-01-08,1971-06-12,1969-08-20,Gemini,Leo,No
12,2000-01-08,1962-02-23,1971-08-24,Pisces,Virgo,No
13,2000-01-10,1944-08-23,1974-08-22,Virgo,Leo,Yes
14,2000-01-11,1978-09-08,1978-09-09,Virgo,Virgo,No
15,2000-01-11,1971-12-18,1969-03-12,Sagittarius,Pisces,No
16,2000-01-12,1975-02-18,1976-06-08,Aquarius,Gemini,No
17,2000-01-13,1974-12-16,1980-12-09,Sagittarius,Sagittarius,No
18,2000-01-14,1973-10-09,1974-02-11,Libra,Aquarius,No
19,2000-01-14,1969-02-25,1974-03-19,Pisces,Pisces,No
20,2000-01-14,1968-12-08,1976-05-28,Sagittarius,Gemini,No
21,2000-01-15,1968-09-03,1970-05-11,Virgo,Taurus,No
22,2000-01-15,1972-02-02,1970-08-10,Aquarius,Leo,Yes
23,2000-01-15,1969-09-13,1976-07-25,Virgo,Leo,No
24,2000-01-15,1969-11-04,1972-04-28,Scorpio,Taurus,No
25,2000-01-15,1971-11-15,1972-12-11,Scorpio,Sagittarius,No
26,2000-01-17,1976-09-13,1978-08-28,Virgo,Virgo,No
27,2000-01-17,1916-11-30,1939-02-15,Sagittarius,Aquarius,No
28,2000-01-17,1970-09-27,1974-09-02,Libra,Virgo,No
29,2000-01-17,1941-05-21,1940-04-25,Gemini,Taurus,No
30,2000-01-17,1971-09-13,1979-10-04,Virgo,Libra,Yes
31,2000-01-18,1956-05-12,1958-06-15,Taurus,Gemini,No
32,2000-01-18,1975-01-28,1975-04-20,Aquarius,Taurus,No
33,2000-01-19,1976-04-20,1974-11-09,Taurus,Scorpio,No
34,2000-01-19,1972-03-31,1972-09-30,Aries,Libra,No
35,2000-01-20,1960-04-23,1967-07-21,Taurus,Cancer,No
36,2000-01-20,1978-08-12,1975-04-08,Leo,Aries,No
37,2000-01-20,1975-04-29,1974-08-05,Taurus,Leo,No
38,2000-01-21,1969-02-26,1974-08-29,Pisces,Virgo,No
39,2000-01-21,1965-03-07,1978-01-12,Pisces,Capricorn,No
40,2000-01-21,1974-01-13,1973-02-13,Capricorn,Aquarius,No
41,2000-01-21,1970-03-18,1971-01-01,Pisces,Capricorn,No
42,2000-01-22,1969-05-08,1970-11-26,Taurus,Sagittarius,No
43,2000-01-24,1961-11-28,1960-12-05,Sagittarius,Sagittarius,No
44,2000-01-24,1971-06-23,1975-01-19,Cancer,Capricorn,No
45,2000-01-25,1980-04-25,1974-12-04,Taurus,Sagittarius,No
46,2000-01-26,1970-01-31,1970-07-14,Aquarius,Cancer,No
47,2000-01-26,1967-04-02,1973-12-15,Aries,Sagittarius,No
48,2000-01-27,1972-07-04,1981-02-02,Cancer,Aquarius,No
49,2000-01-27,1978-10-18,1983-03-07,Libra,Pisces,No
50,2000-01-27,1973-11-28,1976-01-19,Sagittarius,Capricorn,No
51,2000-01-27,1977-09-03,1977-07-17,Virgo,Cancer,No
52,2000-01-28,1979-04-11,1980-07-09,Aries,Cancer,No
53,2000-01-28,1975-12-02,1977-04-18,Sagittarius,Aries,No
54,2000-01-28,1981-05-12,1977-12-12,Taurus,Sagittarius,No
55,2000-01-28,1970-12-19,1974-01-13,Sagittarius,Capricorn,Yes
56,2000-01-28,1982-01-21,1978-02-01,Aquarius,Aquarius,No
57,2000-01-29,1972-08-11,1971-10-12,Leo,Libra,No
58,2000-01-29,1972-04-23,1972-10-01,Taurus,Libra,No
59,2000-01-29,1971-08-05,1973-03-04,Leo,Pisces,No
60,2000-01-29,1971-02-02,1979-02-17,Aquarius,Aquarius,No
61,2000-01-31,1968-04-11,1968-10-12,Aries,Libra,No
62,2000-01-31,1969-07-08,1969-11-14,Cancer,Scorpio,No
63,2000-01-31,1975-02-23,1975-05-10,Pisces,Taurus,No
64,2000-02-01,1932-08-07,1933-08-01,Leo,Leo,No
65,2000-02-01,1979-02-17,1981-02-22,Aquarius,Pisces,No
66,2000-02-01,1967-02-18,1976-10-23,Aquarius,Libra,No
67,2000-02-01,1961-08-31,1985-02-13,Virgo,Aquarius,No
68,2000-02-02,1973-11-15,1976-11-27,Scorpio,Sagittarius,Yes
69,2000-02-02,1980-11-22,1978-09-20,Sagittarius,Virgo,No
70,2000-02-02,1969-06-04,1970-02-16,Gemini,Aquarius,Yes
71,2000-02-02,1962-03-13,1967-09-11,Pisces,Virgo,No
72,2000-02-02,1968-03-17,1971-12-12,Pisces,Sagittarius,No
73,2000-02-02,1962-01-06,1968-05-31,Capricorn,Gemini,No
74,2000-02-02,1974-09-14,1973-11-06,Virgo,Scorpio,No
75,2000-02-03,1978-11-20,1969-06-08,Scorpio,Gemini,No
76,2000-02-03,1971-09-22,1970-04-29,Virgo,Taurus,No
77,2000-02-03,1980-12-28,1977-01-05,Capricorn,Capricorn,No
78,2000-02-03,1959-05-14,1971-02-01,Taurus,Aquarius,No
79,2000-02-04,1979-07-15,1976-04-02,Cancer,Aries,No
80,2000-02-04,1975-12-17,1971-12-20,Sagittarius,Sagittarius,No
81,2000-02-04,1977-11-30,1981-10-12,Sagittarius,Libra,No
82,2000-02-04,1975-04-10,1976-02-05,Aries,Aquarius,No
83,2000-02-04,1979-04-16,1980-04-28,Aries,Taurus,Yes
84,2000-02-04,1978-03-11,1978-01-23,Pisces,Aquarius,No
85,2000-02-04,1973-09-17,1977-10-10,Virgo,Libra,No
86,2000-02-04,1980-08-19,1980-10-28,Leo,Scorpio,No
87,2000-02-04,1961-12-20,1963-09-24,Sagittarius,Libra,No
88,2000-02-04,1974-10-10,1976-11-17,Libra,Scorpio,No
89,2000-02-05,1969-10-26,1974-02-05,Scorpio,Aquarius,No
90,2000-02-05,1972-06-15,1968-08-08,Gemini,Leo,No
91,2000-02-05,1968-01-13,1972-07-09,Capricorn,Cancer,No
92,2000-02-07,1931-11-11,1947-04-26,Scorpio,Taurus,No
93,2000-02-07,1978-11-06,1981-01-21,Scorpio,Aquarius,No
94,2000-02-07,1981-07-02,1981-07-05,Cancer,Cancer,No
95,2000-02-08,1963-11-21,1970-03-12,Scorpio,Pisces,No
96,2000-02-08,1975-06-01,1977-07-19,Gemini,Cancer,No
97,2000-02-08,1972-10-24,1980-05-19,Scorpio,Taurus,No
98,2000-02-08,1967-11-25,1969-11-01,Sagittarius,Scorpio,Yes
99,2000-02-09,1978-09-15,1978-02-02,Virgo,Aquarius,No
100,2000-02-09,1949-06-30,1958-05-30,Cancer,Gemini,No
101,2000-02-09,1970-06-07,1965-11-08,Gemini,Scorpio,No
102,2000-02-09,1977-12-25,1977-05-05,Capricorn,Taurus,No
103,2000-02-09,1981-06-18,1983-11-05,Gemini,Scorpio,No
104,2000-02-09,1959-09-13,1966-11-26,Virgo,Sagittarius,No
105,2000-02-10,1972-12-07,1977-01-14,Sagittarius,Capricorn,No
106,2000-02-10,1976-12-29,1981-11-11,Capricorn,Scorpio,No
107,2000-02-10,1975-10-23,1978-08-12,Libra,Leo,No
108,2000-02-10,1969-01-02,1966-06-17,Capricorn,Gemini,No
109,2000-02-10,1954-11-18,1971-05-02,Scorpio,Taurus,No
110,2000-02-10,1981-01-25,1977-04-17,Aquarius,Aries,Yes
111,2000-02-10,1964-09-14,1967-02-26,Virgo,Pisces,No
112,2000-02-10,1966-09-28,1975-02-16,Libra,Aquarius,No
113,2000-02-10,1959-07-20,1961-10-20,Cancer,Libra,No
114,2000-02-10,1981-01-03,1983-11-18,Capricorn,Scorpio,No
115,2000-02-10,1978-04-10,1971-01-16,Aries,Capricorn,No
116,2000-02-10,1981-09-24,1975-05-06,Libra,Taurus,No
117,2000-02-10,1968-04-03,1968-06-06,Aries,Gemini,No
118,2000-02-10,1960-03-13,1961-06-17,Pisces,Gemini,No
119,2000-02-10,1941-04-25,1941-08-22,Taurus,Leo,No
120,2000-02-10,1974-05-27,1977-03-05,Gemini,Pisces,No
121,2000-02-10,1974-03-10,1977-12-29,Pisces,Capricorn,No
122,2000-02-10,1967-06-24,1970-04-25,Cancer,Taurus,No
123,2000-02-10,1977-12-23,1981-12-19,Capricorn,Sagittarius,No
124,2000-02-10,1961-01-09,1980-09-11,Capricorn,Virgo,No
125,2000-02-10,1978-05-20,1975-04-24,Taurus,Taurus,No
126,2000-02-10,1978-12-04,1979-06-04,Sagittarius,Gemini,No
127,2000-02-10,1966-12-01,1970-12-27,Sagittarius,Capricorn,No
128,2000-02-10,1976-04-26,1977-11-21,Taurus,Scorpio,No
129,2000-02-10,1969-11-10,1974-07-24,Scorpio,Leo,No
130,2000-02-10,1978-02-10,1979-10-01,Aquarius,Libra,No
131,2000-02-10,1978-11-16,1982-05-23,Scorpio,Gemini,No
132,2000-02-10,1968-01-13,1966-12-19,Capricorn,Sagittarius,No
133,2000-02-10,1980-11-09,1981-01-30,Scorpio,Aquarius,Yes
134,2000-02-10,1962-08-22,1967-08-10,Leo,Leo,No
135,2000-02-10,1959-10-21,1967-09-13,Libra,Virgo,No
136,2000-02-10,1964-10-20,1975-07-03,Libra,Cancer,No
137,2000-02-10,1978-06-01,1979-08-15,Gemini,Leo,No
138,2000-02-10,1967-01-04,1972-08-03,Capricorn,Leo,No
